"filename", "language", "JavaScript", "CSS", "JavaScript React", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Context.sol\Context.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 1, 11
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Counters.sol\Counters.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Counters.sol\Counters.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 1, 11
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Strings.sol\Strings.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\Strings.sol\Strings.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 1, 11
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol\ERC165.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol\ERC165.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 1, 31
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol\IERC165.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol\IERC165.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 1, 31
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\build-info\4975eda48763edae8930dfd383f0bfde.json", "JSON", 0, 0, 0, 0, 0, 174734, 0, 1, 174735
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\contracts\Greeter.sol\Greeter.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\contracts\Greeter.sol\Greeter.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 1, 49
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\contracts\Market.sol\NFTMarket.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\contracts\Market.sol\NFTMarket.json", "JSON", 0, 0, 0, 0, 0, 823, 0, 0, 823
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\artifacts\contracts\NFT.sol\NFT.dbg.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 1, 5
